path,servicePlanBranch,subGroup,reportName,reportCode,subcatalogId,officialUrl,existsInOfficial,existsInSnapshot,existsInCoverage,visibleInUI,status,missingReason,suggestedFix
"รายงานมาตรฐาน > ข้อมูลตอบสนอง Service Plan > ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคหัวใจ และหลอดเลือด > กลุ่มผู้ป่วยโรคหลอดเลือดหัวใจ","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคหัวใจ และหลอดเลือด","กลุ่มผู้ป่วยโรคหลอดเลือดหัวใจ","อัตราผู้ป่วยรายใหม่จากโรคหลอดเลือดหัวใจ(I20-I24)","f30ac091da143dbbc8ce1dd1ff05b9da","39fd60c25235db479930db85a0e97dd3","https://hdc.moph.go.th/center/public/standard-report-detail/f30ac091da143dbbc8ce1dd1ff05b9da?subcatalogId=39fd60c25235db479930db85a0e97dd3","true","false","false","false","missing_from_crawler","Nested under group ""กลุ่มผู้ป่วยโรคหลอดเลือดหัวใจ"" in HDC's system/subcatalog/reports response. scripts/snapshot.mjs (main(), reports filter) and script.js normalizeReports() both read response.rows top-level only and never recurse into `children`, so this report is never requested from HDC at all — it has no snapshot, no coverage entry, and never appears in the live report dropdown.","crawler (scripts/snapshot.mjs) + UI (script.js normalizeReports/fetchStandardReports) — both need to recursively flatten `children` before filtering by report_code. Same bug, two call sites."
"รายงานมาตรฐาน > ข้อมูลตอบสนอง Service Plan > ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคหัวใจ และหลอดเลือด > กลุ่มผู้ป่วยโรคหลอดเลือดหัวใจ","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคหัวใจ และหลอดเลือด","กลุ่มผู้ป่วยโรคหลอดเลือดหัวใจ","อัตราป่วยโรคหัวใจขาดเลือด (I20-I25)","0d40cc093245578ef3ddd91c775c0046","39fd60c25235db479930db85a0e97dd3","https://hdc.moph.go.th/center/public/standard-report-detail/0d40cc093245578ef3ddd91c775c0046?subcatalogId=39fd60c25235db479930db85a0e97dd3","true","false","false","false","missing_from_crawler","Nested under group ""กลุ่มผู้ป่วยโรคหลอดเลือดหัวใจ"" in HDC's system/subcatalog/reports response. scripts/snapshot.mjs (main(), reports filter) and script.js normalizeReports() both read response.rows top-level only and never recurse into `children`, so this report is never requested from HDC at all — it has no snapshot, no coverage entry, and never appears in the live report dropdown.","crawler (scripts/snapshot.mjs) + UI (script.js normalizeReports/fetchStandardReports) — both need to recursively flatten `children` before filtering by report_code. Same bug, two call sites."
"รายงานมาตรฐาน > ข้อมูลตอบสนอง Service Plan > ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคหัวใจ และหลอดเลือด > กลุ่มผู้ป่วยโรคหลอดเลือดหัวใจ","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคหัวใจ และหลอดเลือด","กลุ่มผู้ป่วยโรคหลอดเลือดหัวใจ","อัตราการเสียชีวิตในโรงพยาบาลของผู้ป่วยโรคกล้ามเนื้อหัวใจตายเฉียบพลันชนิด STEMI","0d6583984b86a90ab8986be4bb7f63f9","39fd60c25235db479930db85a0e97dd3","https://hdc.moph.go.th/center/public/standard-report-detail/0d6583984b86a90ab8986be4bb7f63f9?subcatalogId=39fd60c25235db479930db85a0e97dd3","true","false","false","false","missing_from_crawler","Nested under group ""กลุ่มผู้ป่วยโรคหลอดเลือดหัวใจ"" in HDC's system/subcatalog/reports response. scripts/snapshot.mjs (main(), reports filter) and script.js normalizeReports() both read response.rows top-level only and never recurse into `children`, so this report is never requested from HDC at all — it has no snapshot, no coverage entry, and never appears in the live report dropdown.","crawler (scripts/snapshot.mjs) + UI (script.js normalizeReports/fetchStandardReports) — both need to recursively flatten `children` before filtering by report_code. Same bug, two call sites."
"รายงานมาตรฐาน > ข้อมูลตอบสนอง Service Plan > ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคหัวใจ และหลอดเลือด > กลุ่มผู้ป่วยโรคหลอดเลือดหัวใจ","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคหัวใจ และหลอดเลือด","กลุ่มผู้ป่วยโรคหลอดเลือดหัวใจ","ร้อยละของการให้การรักษาผู้ป่วย STEMI ได้ตามมาตรฐานเวลาที่กำหนด","12d5b6eef67669da17758ef281915cbb","39fd60c25235db479930db85a0e97dd3","https://hdc.moph.go.th/center/public/standard-report-detail/12d5b6eef67669da17758ef281915cbb?subcatalogId=39fd60c25235db479930db85a0e97dd3","true","false","false","false","missing_from_crawler","Nested under group ""กลุ่มผู้ป่วยโรคหลอดเลือดหัวใจ"" in HDC's system/subcatalog/reports response. scripts/snapshot.mjs (main(), reports filter) and script.js normalizeReports() both read response.rows top-level only and never recurse into `children`, so this report is never requested from HDC at all — it has no snapshot, no coverage entry, and never appears in the live report dropdown.","crawler (scripts/snapshot.mjs) + UI (script.js normalizeReports/fetchStandardReports) — both need to recursively flatten `children` before filtering by report_code. Same bug, two call sites."
"รายงานมาตรฐาน > ข้อมูลตอบสนอง Service Plan > ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคหัวใจ และหลอดเลือด > กลุ่มผู้ป่วยโรคหลอดเลือดหัวใจ","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคหัวใจ และหลอดเลือด","กลุ่มผู้ป่วยโรคหลอดเลือดหัวใจ","ผู้ป่วยโรคหลอดเลือดหัวใจที่ปัจจุบันสูบบุหรี่สามารถเลิกบุหรี่ได้สำเร็จ","ab5bbdb0bb3044e385919d0518d87877","39fd60c25235db479930db85a0e97dd3","https://hdc.moph.go.th/center/public/standard-report-detail/ab5bbdb0bb3044e385919d0518d87877?subcatalogId=39fd60c25235db479930db85a0e97dd3","true","false","false","false","missing_from_crawler","Nested under group ""กลุ่มผู้ป่วยโรคหลอดเลือดหัวใจ"" in HDC's system/subcatalog/reports response. scripts/snapshot.mjs (main(), reports filter) and script.js normalizeReports() both read response.rows top-level only and never recurse into `children`, so this report is never requested from HDC at all — it has no snapshot, no coverage entry, and never appears in the live report dropdown.","crawler (scripts/snapshot.mjs) + UI (script.js normalizeReports/fetchStandardReports) — both need to recursively flatten `children` before filtering by report_code. Same bug, two call sites."
"รายงานมาตรฐาน > ข้อมูลตอบสนอง Service Plan > ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคหัวใจ และหลอดเลือด > กลุ่มผู้ป่วยโรคหลอดเลือดหัวใจ","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคหัวใจ และหลอดเลือด","กลุ่มผู้ป่วยโรคหลอดเลือดหัวใจ","ผู้ป่วยโรคหลอดเลือดหัวใจ ได้รับการตรวจไขมัน LDL และ มีค่า LDL < 100 mg/dl","6726c297ace4c11b795334d84187a220","39fd60c25235db479930db85a0e97dd3","https://hdc.moph.go.th/center/public/standard-report-detail/6726c297ace4c11b795334d84187a220?subcatalogId=39fd60c25235db479930db85a0e97dd3","true","false","false","false","missing_from_crawler","Nested under group ""กลุ่มผู้ป่วยโรคหลอดเลือดหัวใจ"" in HDC's system/subcatalog/reports response. scripts/snapshot.mjs (main(), reports filter) and script.js normalizeReports() both read response.rows top-level only and never recurse into `children`, so this report is never requested from HDC at all — it has no snapshot, no coverage entry, and never appears in the live report dropdown.","crawler (scripts/snapshot.mjs) + UI (script.js normalizeReports/fetchStandardReports) — both need to recursively flatten `children` before filtering by report_code. Same bug, two call sites."
"รายงานมาตรฐาน > ข้อมูลตอบสนอง Service Plan > ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคหัวใจ และหลอดเลือด > กลุ่มผู้ป่วยโรคหลอดเลือดสมอง","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคหัวใจ และหลอดเลือด","กลุ่มผู้ป่วยโรคหลอดเลือดสมอง","อัตราผู้ป่วยรายใหม่จากโรคหลอดเลือดสมอง","b184366d9fa112292f8374184b21e1a8","39fd60c25235db479930db85a0e97dd3","https://hdc.moph.go.th/center/public/standard-report-detail/b184366d9fa112292f8374184b21e1a8?subcatalogId=39fd60c25235db479930db85a0e97dd3","true","false","false","false","missing_from_crawler","Nested under group ""กลุ่มผู้ป่วยโรคหลอดเลือดสมอง"" in HDC's system/subcatalog/reports response. scripts/snapshot.mjs (main(), reports filter) and script.js normalizeReports() both read response.rows top-level only and never recurse into `children`, so this report is never requested from HDC at all — it has no snapshot, no coverage entry, and never appears in the live report dropdown.","crawler (scripts/snapshot.mjs) + UI (script.js normalizeReports/fetchStandardReports) — both need to recursively flatten `children` before filtering by report_code. Same bug, two call sites."
"รายงานมาตรฐาน > ข้อมูลตอบสนอง Service Plan > ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคหัวใจ และหลอดเลือด > กลุ่มผู้ป่วยโรคหลอดเลือดสมอง","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคหัวใจ และหลอดเลือด","กลุ่มผู้ป่วยโรคหลอดเลือดสมอง","อัตราการป่วยด้วยโรคหลอดเลือดสมอง","3092c3c3250ae67155f7e134680c4152","39fd60c25235db479930db85a0e97dd3","https://hdc.moph.go.th/center/public/standard-report-detail/3092c3c3250ae67155f7e134680c4152?subcatalogId=39fd60c25235db479930db85a0e97dd3","true","true","true","false","hidden_by_ui","Report has good facility data in snapshot/coverage but script.js does not surface it (e.g. nested under a group it doesn't flatten).","UI — script.js normalizeReports/fetchStandardReports."
"รายงานมาตรฐาน > ข้อมูลตอบสนอง Service Plan > ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคหัวใจ และหลอดเลือด > กลุ่มผู้ป่วยโรคหลอดเลือดสมอง","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคหัวใจ และหลอดเลือด","กลุ่มผู้ป่วยโรคหลอดเลือดสมอง","อัตราตายของผู้ป่วยใน โรคหลอดเลือดสมอง","7ac059f4e4e3d08750d2ee23600556af","39fd60c25235db479930db85a0e97dd3","https://hdc.moph.go.th/center/public/standard-report-detail/7ac059f4e4e3d08750d2ee23600556af?subcatalogId=39fd60c25235db479930db85a0e97dd3","true","false","false","false","missing_from_crawler","Nested under group ""กลุ่มผู้ป่วยโรคหลอดเลือดสมอง"" in HDC's system/subcatalog/reports response. scripts/snapshot.mjs (main(), reports filter) and script.js normalizeReports() both read response.rows top-level only and never recurse into `children`, so this report is never requested from HDC at all — it has no snapshot, no coverage entry, and never appears in the live report dropdown.","crawler (scripts/snapshot.mjs) + UI (script.js normalizeReports/fetchStandardReports) — both need to recursively flatten `children` before filtering by report_code. Same bug, two call sites."
"รายงานมาตรฐาน > ข้อมูลตอบสนอง Service Plan > ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคหัวใจ และหลอดเลือด > กลุ่มผู้ป่วยโรคหลอดเลือดสมอง","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคหัวใจ และหลอดเลือด","กลุ่มผู้ป่วยโรคหลอดเลือดสมอง","ผู้ป่วยโรคหลอดเลือดสมอง (STROKE) ที่ปัจจุบันสูบบุหรี่สามารถเลิกบุหรี่ได้สำเร็จ","289a2c49412aaf272e0ed8efd6415c30","39fd60c25235db479930db85a0e97dd3","https://hdc.moph.go.th/center/public/standard-report-detail/289a2c49412aaf272e0ed8efd6415c30?subcatalogId=39fd60c25235db479930db85a0e97dd3","true","false","false","false","missing_from_crawler","Nested under group ""กลุ่มผู้ป่วยโรคหลอดเลือดสมอง"" in HDC's system/subcatalog/reports response. scripts/snapshot.mjs (main(), reports filter) and script.js normalizeReports() both read response.rows top-level only and never recurse into `children`, so this report is never requested from HDC at all — it has no snapshot, no coverage entry, and never appears in the live report dropdown.","crawler (scripts/snapshot.mjs) + UI (script.js normalizeReports/fetchStandardReports) — both need to recursively flatten `children` before filtering by report_code. Same bug, two call sites."
